State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Apple Health/Healthy Options Health Home Program (Comprehensive MCO),Multiple Sites,"Adams, Asotin, Benton, Chelan, Clallam, Clark, Columbia, Cowlitz, Douglas, Ferry, Franklin, Garfield, Grant, Grays Harbor, Island, Jefferson, King,  Kitsap, Kittitas, Klickitat, Lewis, Lincoln, Mason, Okanogan, Pacific, Pend Oreille, Pierce, San Juan, Snohomish, Skagit, Skamania, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",20832,0,20832,2017,"Washington
(47.411715, -120.592492)",Multiple Sites
Wisconsin,,SSI Managed Care (Comprehensive MCO),Care Wisconsin,"Counties: Adams, Calumet, Clark, Columbia, Crawford, Dane, Dodge, Fond du Lac, Grant, Green, Green Lake, Iowa, Jackson, Jefferson, Juneau, La Crosse, Lafayette, Marquette, Monroe, Outagamie, Ozaukee, Richland, Rock, Trempealeau, Vernon, Waukesha, Waupaca, Waushara, Winnebago",1495,307,1802,2017,"Wisconsin
(44.639954, -89.732969)",Care Wisconsin
Wisconsin,,SSI Managed Care (Comprehensive MCO),Compcare,"Counties: Ashland, Chippewa, Douglas, Eau Claire, Grant, Green, Iowa, Juneau, Lafayette, Lincoln, Marathon, Price, Richland, Vernon, Washburn",246,118,364,2017,"Wisconsin
(44.639954, -89.732969)",Compcare
Ohio,,Medicaid Managed Care (Comprehensive MCO),Paramount Advantage,Statewide,245275,0,245275,2017,"Ohio
(40.415534, -82.70936)",ProMedica
New York,,Medicaid Advantage Plus (Comprehensive MCO + MLTSS),Senior Whole Health,"New York City & Nassau, Westchester counties",1,110,111,2017,"New York
(42.921241, -75.59655)",Senior Whole Health
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),CenCal Health/San Luis Obispo,San Luis Obispo County,48037,6529,54566,2017,"California
(37.211164, -119.662127)",CenCal Health
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),The Information Center,Wayne,21,293,314,2017,"Michigan
(44.874798, -85.730977)",The Information Center
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Extended MLTC,"New York City & Nassau, Suffolk counties",289,2382,2671,2017,"New York
(42.921241, -75.59655)",Extended MLTC
New York,,Medicaid Advantage (Comprehensive MCO),WellCare,"Albany, Broome, Erie, Monroe, Niagara, Oneida, Onondaga, Orange, Rensselaer, Rockland, Saratoga, Schenectady, Ulster, Wayne counties",53,2129,2182,2017,"New York
(42.921241, -75.59655)",WellCare
California,,Two-Plan Model (Comprehensive MCO + MLTSS),Anthem Blue Cross Partnership Plan/Contra Costa,Contra Costa County,27623,827,28450,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Florida,,Long-term Care Program (MLTSS only (PIHP and/or PAHP)),"United Healthcare of FL, Inc.","Regions 2, 3, 4, 5, 6, 7, 8, 9, and 11",1318,17763,19081,2017,"Florida
(28.260731, -82.420978)",United Healthcare
Michigan,,Managed Care Plan Division (Comprehensive MCO),Harbor Health Plan,"Macomb, Oakland, Wayne",8738,15,8753,2017,"Michigan
(44.874798, -85.730977)",Tenet Healthcare
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.",Behavioral Health Services Only (BHSO) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Molina Health Care,Clark and Skamania,5322,0,5322,2017,"Washington
(47.411715, -120.592492)",Molina
Utah,,Choice of Health Care Delivery (Comprehensive MCO),Health Choice,"Beaver, Box Elder, Cache, Davis, Iron, Juab, Miller, Morgan, Rich, Salt Lake, Sanpete, Sevier, Summit, Tooele, Utah, Wasatch, Washington, and Weber counties",16715,1362,18077,2017,"Utah
(39.323779, -111.678222)",Steward Health Care System
Michigan,,Managed Care Plan Division (Comprehensive MCO),McLaren Health Plan,"Alcona, Allegan, Alpena, Antrim, Arenac, Barry, Bay, Benzie, Berrien, Branch, Calhoun, Cass, Charlevoix, Cheboygan, Clare, Clinton, Crawford, Eaton, Emmet, Genesee, Gladwin, Grand Traverse, Gratiot, Hillsdale, Huron, Ingham, Ionia, Iosco, Isabella, Jackson, Kalamazoo, Kalkaska, Kent, Lake, Lapeer, Leelanau, Lenawee, Livingston, Macomb, Manistee, Mason, Mecosta, Midland, Missaukee, Monroe, Montcalm, Montmorency, Muskegon, Newaygo, Oakland, Oceana, Ogemaw, Osceola, Oscoda, Otsego, Ottawa, Presque Isle, Roscommon, Saginaw, St. Clair, St. Joseph, Sanilac, Shiawassee, Tuscola, VanBuren, Washtenaw, Wayne, Wexford.",199752,5618,205370,2017,"Michigan
(44.874798, -85.730977)",McLaren Health Plan
New York,,Health and Recovery Plans (Comprehensive MCO),Excellus Health Plan,"Broome, Herkimer, Livingston, Monroe, Oneida, Ontario, Orleans, Otsego, Seneca, Wayne, Yates counties",5886,0,5886,2017,"New York
(42.921241, -75.59655)",Blue Cross Blue Shield
Maine,,NET (Non-Emergency Medical Transportation),Logisticare,"Regions 1,2,6,7 and 8",112059,30779,142838,2017,"Maine
(45.117911, -69.06137)",Logisticare
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Sentara Pace Churchland,"23320, 23321, 23322, 23323, 23324, 23325, 23432, 23433,23434, 23435, 23436, 23437, 23438, 23451, 23452, 23453, 23454, 23455, 23456",9,86,95,2017,"Virginia
(37.510861, -78.666382)",Sentara
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Home State Health Southwest,"Barry, Barton, Christian, Dade, Dallas, Douglas, Greene, Hickory, Howell, Jasper, Lawrence, McDonald, Newton, Oregon, Ozark, Shannon, Stone, Taney, Texas, Webster, and Wright",45697,0,45697,2017,"Missouri
(38.3675, -92.477244)",Centene
Minnesota,,Special Needs Basic Care (SNBC) (Comprehensive MCO + MLTSS),Medica,Statewide,6651,7395,14046,2017,"Minnesota
(46.349153, -94.198308)",Medica Holding Company
California,,County Organized Health Systems (COHS) Model (Comprehensive MCO + MLTSS),Central California Alliance for Health/Merced,Merced County,116792,10720,127512,2017,"California
(37.211164, -119.662127)",Central California Alliance for Health
Virginia,,Medallion 3.0 (Comprehensive MCO),Virginia Premier,Statewide,180318,0,180318,2017,"Virginia
(37.510861, -78.666382)",VCU Health System
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),Missouri Care Southwest,"Barry, Barton, Christian, Dade, Dallas, Douglas, Greene, Hickory, Howell, Jasper, Lawrence, McDonald, Newton, Oregon, Ozark, Shannon, Stone, Taney, Texas, Webster, and Wright",52152,0,52152,2017,"Missouri
(38.3675, -92.477244)",WellCare Health Plans
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Security Health Plan,"Counties: Adams, Ashland, Barron, Bayfield, Burnett, Chippewa, Clark, Douglas, Dunn, Eau Claire, Forest, Iron, Jackson, Juneau, Langlade, Lincoln, Marathon, Monroe, Oneida, Pepin, Portage, Price, Rusk, Sawyer, Shawano, Taylor, Trempealeau, Vilas, Washburn, Waupaca, Waushara, Wood",55596,75,55671,2017,"Wisconsin
(44.639954, -89.732969)",Security Health Plan
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Mid-State Health Network,"Arenac, Bay, Clare, Clinton, Eaton, Gladwin, Gratiot, Hillsdale, Huron, Ingham, Ionia, Isabella, Jackson, Mecosta, Midland, Montcalm, Newaygo, Osceola, Saginaw, Shiawassee, Tuscola",370233,0,370233,2017,"Michigan
(44.874798, -85.730977)",Mid-State Health Network
Minnesota,,Minnesota Senior Care Plus (MSC+) (Comprehensive MCO + MLTSS),PrimeWest Health,"Beltrami, Bigstone, Clearwater, Douglas, Grant, Hubbard, McLeod, Meeker, Pipestone, Pope, Renville, Stevens, and Traverse County",19,805,824,2017,"Minnesota
(46.349153, -94.198308)",PrimeWest Health
California,,Senior Action Care Network (SCAN) (Comprehensive MCO + MLTSS),SCAN Health Plan/San Bernardino,San Bernardino County,0,1331,1331,2017,"California
(37.211164, -119.662127)",SCAN Health Plan
Florida,,Managed Medical Assistance Program (Comprehensive MCO),Humana Medical Plan,"Regions 1, 6, 9, 10, and 11",307015,17228,324243,2017,"Florida
(28.260731, -82.420978)",Humana Medical Plan
New Hampshire,,New Hampshire Medicaid Care Management (Comprehensive MCO),Well Sense,Statewide,61006,7889,68895,2017,"New Hampshire
(43.680429, -71.57139)",Boston Medical Center Health Plan
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Centra Pace Gretna,"24054, 24055, 24069, 24078, 24082, 24089, 24102, 24104, 24112, 24137, 24139, 24146, 24148, 24161, 24165, 24168, 24517, 24527, 24528, 24530, 24531, 24540, 24541, 24549, 24557, 24563, 24565, 24566, 24569, 24571, 24586, 24594, 24133, 24176, 24543, 24576",1,23,24,2017,"Virginia
(37.510861, -78.666382)",Centra Health
Texas,,STAR Kids (Comprehensive MCO + MLTSS),Children's Medical Center,Dallas SDA,9688,0,9688,2017,"Texas
(31.447238, -99.317341)",Children's Medical Center
Louisiana,,Healthy Louisiana BHO (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Amerigroup,Statewide,2333,19233,21566,2017,"Louisiana
(30.921314, -91.840238)",Amerigroup
Louisiana,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE - Baton Rouge,"70704, 70710, 70714,70719, 70720,70722, 70729, 70736, 70739, 70748, 70767, 70770, 70775, 70777, 70791, 70801, 70802, 70803, 70804, 70805, 70806, 70807, 70808, 70809, 70810, 70811, 70812, 70813, 70814, 70815, 70816, 70817, 70818, 70819, 70820, 70821, 70822, 70823, 70825, 70826, 70827, 70831, 70833, 70835, 70836, 70837, 70873, 70874, 70879,70883, 70884, 70891, 70892, 70893, 70894, 70895, 70896, 70898",1,194,195,2017,"Louisiana
(30.921314, -91.840238)",PACE - Baton Rouge
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Placer,Placer County,8913,306,9219,2017,"California
(37.211164, -119.662127)",Centene Corporation
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),InterCommunity Health Network,"Benton, Lincoln, and Linn Counties",49556,2514,52070,2017,"Oregon
(43.940449, -120.605279)",InterCommunity Health Network
Massachusetts,,Money Follows the Person - Behavioral Health Supports (MFP-BH) (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Money Follows the Person - Behavioral Health Supports (BFP-BH),Statewide,29,331,360,2017,"Massachusetts
(42.151077, -71.481104)",Money Follows the Person - Behavioral Health Supports (BFP-BH)
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),LIFE NWPA H-4999,"Erie, Mercer, Crawford, Warren counties",8,121,129,2017,"Pennsylvania
(40.896694, -77.838886)",Lutheran Homes for the Aged
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),On Lok Lifeways/Alameda,Alameda County,38,176,214,2017,"California
(37.211164, -119.662127)",On Lok Lifeways
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Glenn,Glenn County,3904,119,4023,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Michigan,,Managed Care Plan Division (Comprehensive MCO),Blue Cross Complete of Michigan,"Allegan, Barry, Clinton, Eaton, Genesee, Hillsdale, Huron, Ingham, Ionia, Jackson, Kent, Lake, Lapeer, Lenawee, Livingston, Macomb, Mason, Mecosta, Monroe, Montcalm, Muskegon, Newaygo, Oakland, Oceana, Osceola, St. Clair, Sanilac, Shiawassee, Tuscola, Washtenaw, Wayne.",197853,3456,201309,2017,"Michigan
(44.874798, -85.730977)",Blue Cross Complete of Michigan
New York,,Health and Recovery Plans (Comprehensive MCO),MVP Health Plan,"Albany, Columbia, Dutchess, Genesee, Greene, Jefferson, Livingston, Monroe, Oneida, Ontario, Orange, Putnam, Rensselaer, Rockland, Saratoga, Schenectady, Sullivan, Ulster, Warren, Washington, & Westchester counties",3814,0,3814,2017,"New York
(42.921241, -75.59655)",MVP Health Plan
Georgia,,Georgia Families (Comprehensive MCO),CareSource Georgia,Statewide,229523,0,229523,2017,"Georgia
(32.638481, -83.426574)",CareSource
North Carolina,,Program of All Inclusive Care for the Elderly (Program of All-inclusive Care for the Elderly (PACE)),PACE At Home Inc,"Serving all zip codes in Catawba County and portions of zip codes in Alexander, Burke, Caldwell and Lincoln Counties:   28037, 28092, 28168, 28601, 28602, 28609, 28610, 28612, 28613, 28630, 28637, 28638, 28650, 28658, 28673, 28678, 28681, 28682, 28690",113,26,139,2017,"North Carolina
(35.52603, -79.130883)",PACE At Home Inc
Maryland,,HealthChoice (Comprehensive MCO),United Healthcare Community Plan,"Baltimore City, Anne Arundel, Baltimore, Carroll, Cecil, Charles, Harford, Howard, Montgomery, Prince George's and St. Mary's counties",158969,0,158969,2017,"Maryland
(38.946466, -76.687282)",United Healthcare
New Mexico,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),InnovAge Greater New Mexico PACE dba Total Community Care,"Bernalillo County, Sandoval County, Valencia County",54,701,755,2017,"New Mexico
(34.421369, -106.108388)",InnovAge Greater New Mexico PACE dba Total Community Care
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),CenterLight Select,"New York City & Nassau, Rockland, Suffolk, Westchester counties",34,1,35,2017,"New York
(42.921241, -75.59655)",CenterLight Select
California,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),San Diego PACE,San Diego County,53,161,214,2017,"California
(37.211164, -119.662127)",San Diego PACE
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),AgeWell New York,"New York City & Nassau, Suffolk, Westchester counties",338,8196,8534,2017,"New York
(42.921241, -75.59655)",AgeWell New York
South Dakota,,PRIME (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,93369,0,93369,2017,"South Dakota
(44.43614, -100.230491)",Multiple Primary Care Providers
Wisconsin,,BadgerCare Plus (Comprehensive MCO),Unity Health Plan,"Counties: Columbia, Dane, Dodge, Fond du Lac, Green, Jefferson, Juneau, Rock, Sauk",15890,16,15906,2017,"Wisconsin
(44.639954, -89.732969)",Unity Health Plan
Michigan,,Healthy Michigan Plan (Comprehensive MCO),Aetna Better Health of Michigan,"Berrien, Branch, Calhoun, Cass, Hillsdale, Jackson, Kalamazoo, Lenawee, Livingston, Macomb, Monroe, Oakland, St. Joseph, Van Buren, Washtenaw, Wayne.",13210,0,13210,2017,"Michigan
(44.874798, -85.730977)",Aetna Better Health of Michigan
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Montgomery County HealthChoices,Montgomery county,85564,8983,94547,2017,"Pennsylvania
(40.896694, -77.838886)",Magellan Health
Texas,,STAR (Comprehensive MCO),BlueCross BlueShield,Travis SDA,25888,0,25888,2017,"Texas
(31.447238, -99.317341)",Health Care Service Corp.
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),Fidelis Care at Home,Statewide,1378,17643,19021,2017,"New York
(42.921241, -75.59655)",Fidelis Care at Home
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),LIFE - Pittsburgh H-3918,Allegheny county,42,550,592,2017,"Pennsylvania
(40.896694, -77.838886)",Pittsburgh Mercy Health System and Lutheran SeniorLife
New York,,Medicaid Advantage (Comprehensive MCO),United HealthCare,New York City & Nassau County,37,3358,3395,2017,"New York
(42.921241, -75.59655)",United HealthCare
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Valley Behavioral Health,Summit and Tooele counties,7218,583,7801,2017,"Utah
(39.323779, -111.678222)",Valley Behavioral Health
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Plumas,Plumas County,2292,101,2393,2017,"California
(37.211164, -119.662127)",Centene Corporation
Nebraska,,Heritage Health (Comprehensive MCO),WellCare of Nebraska,Statewide,75917,7211,83128,2017,"Nebraska
(41.527099, -99.810595)","WellCare Health Plans, Inc"
New York,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Eddy Senior Care,"Albany, Schenectady counties",19,182,201,2017,"New York
(42.921241, -75.59655)",Eddy Senior Care
Pennsylvania,,HealthChoices - Behavioral Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Northwest Behavioral Health Partnership,"Crawford, Mercer, Venango counties",47345,7222,54567,2017,"Pennsylvania
(40.896694, -77.838886)",Value Behavioral Health of PA
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Detroit Area Agency on Aging,Wayne (Detroit),65,1247,1312,2017,"Michigan
(44.874798, -85.730977)",Area Agencies on Aging
New York,,Health and Recovery Plans (Comprehensive MCO),Affinity Health Plan,"New York City & Nassau, Orange, Rockland, Suffolk, Westchester counties",3874,0,3874,2017,"New York
(42.921241, -75.59655)",Affinity Health Plan
